id_municipio,pib_mil_reais,ano_pib
2207553,44237,2021
2207603,119216,2021
2207702,2973925,2021
2207751,48758,2021
2207777,64630,2021
2207793,33613,2021
2207801,267774,2021
2207850,37693,2021
2207900,386328,2021
2207934,31322,2021
2207959,43931,2021
2208007,1941759,2021
2208106,106976,2021
2208205,202556,2021
2208304,363519,2021
2208403,917296,2021
2208502,118547,2021
2208551,39212,2021
2208601,27584,2021
2208650,253314,2021
2208700,97930,2021
2208809,264517,2021
2208858,46279,2021
2208874,217390,2021
2208908,695855,2021
2209005,61491,2021
2209104,61012,2021
2209153,45473,2021
2209203,615148,2021
2209302,62465,2021
2209351,40807,2021
2209377,50228,2021
2209401,72021,2021
2209450,18051,2021
2209500,40377,2021
2209559,39471,2021
2209609,32116,2021
2209658,55545,2021
2209708,58406,2021
2209757,54607,2021
2209807,56735,2021
2209856,49321,2021
2209872,60925,2021
2209906,59723,2021
2209955,36648,2021
2209971,68235,2021
2210003,426952,2021
2210052,63754,2021
2210102,42837,2021
2210201,68088,2021
2210300,59545,2021
2210359,45314,2021
2210375,25333,2021
2210383,27272,2021
2210391,47464,2021
2210409,163378,2021
2210508,134836,2021
2210607,566295,2021
2210623,46712,2021
2210631,255418,2021
2210656,78161,2021
2210706,434505,2021
2210805,182912,2021
2210904,41067,2021
2210938,76908,2021
2210953,30388,2021
2210979,33181,2021
2211001,23954511,2021
2211100,420370,2021
2211209,2829979,2021
2211308,289698,2021
2211357,44541,2021
2211407,40996,2021
2211506,31078,2021
2211605,37035,2021
2211704,38008,2021
2300101,117971,2021
2300150,179994,2021
2300200,1020201,2021
2300309,564520,2021
2300408,151596,2021
2300507,98202,2021
2300606,74654,2021
2300705,232268,2021
2300754,665472,2021
2300804,78953,2021
2300903,120978,2021
2301000,3854401,2021
2301109,1706227,2021
2301208,266422,2021
2301257,106784,2021
2301307,207982,2021
2301406,151645,2021
2301505,70224,2021
2301604,237259,2021
2301703,216792,2021
2301802,67541,2021
2301851,260031,2021
2301901,1345205,2021
2301950,240016,2021
2302008,242027,2021
2302057,133335,2021
2302107,448272,2021
2302206,1059006,2021
2302305,322244,2021
2302404,539218,2021
2302503,817034,2021
2302602,839500,2021
2302701,292357,2021
2302800,911356,2021
2302909,176809,2021
2303006,186169,2021
2303105,193105,2021
2303204,253127,2021
2303303,180984,2021
2303402,166772,2021
2303501,1074377,2021
2303600,154108,2021
2303659,112081,2021
2303709,10422701,2021
2303808,247325,2021
2303907,110318,2021
2303931,178989,2021
2303956,260273,2021
2304004,225090,2021
2304103,952649,2021
2304202,1871587,2021
2304236,224437,2021
2304251,372681,2021
2304269,100883,2021
2304277,80690,2021
2304285,3577497,2021
2304301,202248,2021
2304350,304957,2021
2304400,73437739,2021
2304459,312460,2021
2304509,275921,2021
2304608,86963,2021
2304657,129711,2021
2304707,469407,2021
2304806,51337,2021
2304905,110755,2021
2304954,231993,2021
2305001,669209,2021
2305100,80396,2021
2305209,185025,2021
2305233,2116782,2021
2305266,132265,2021
2305308,348540,2021
2305332,124951,2021
2305357,411021,2021
2305407,737489,2021
2305506,1904815,2021
2305605,306809,2021
2305654,114127,2021
2305704,143451,2021
2305803,519845,2021
2305902,328115,2021
2306009,195282,2021
2306108,220294,2021
2306207,82855,2021
2306256,1258826,2021
2306306,594581,2021
2306405,1784007,2021
2306504,170314,2021
2306553,766786,2021
2306603,174029,2021
2306702,226644,2021
2306801,154002,2021
2306900,561175,2021
2307007,566961,2021
2307106,294154,2021
2307205,129729,2021
2307254,551638,2021
2307304,5114786,2021
2307403,319373,2021
2307502,343304,2021
2307601,1423366,2021
2307635,174831,2021
2307650,12336717,2021
2307700,1649528,2021
2307809,390969,2021
2307908,96327,2021
