id_municipio,taxa_alfabetizacao_15mais
2414308,82.97
2414407,77.92
2414456,74.69
2414506,82.12
2414605,77.77
2414704,76.85
2414753,70.81
2414803,76.6
2414902,80.75
2415008,79.54
2500106,81.32
2500205,69.5
2500304,72.55
2500403,78.21
2500502,73.45
2500536,80.22
2500577,70.37
2500601,82.42
2500700,78.6
2500734,80.06
2500775,77.0
2500809,71.51
2500908,72.46
2501005,70.0
2501104,78.23
2501153,76.31
2501203,81.62
2501302,73.75
2501351,81.01
2501401,82.28
2501500,75.04
2501534,77.01
2501575,75.13
2501609,72.43
2501708,79.52
2501807,87.22
2501906,75.74
2502003,71.36
2502052,75.63
2502102,75.78
2502151,87.19
2502201,78.81
2502300,74.83
2502409,79.43
2502508,81.56
2502607,75.3
2502706,75.64
2502805,76.92
2502904,79.54
2503001,81.43
2503100,90.71
2503209,91.48
2503308,78.2
2503407,79.84
2503506,70.05
2503555,75.26
2503605,75.03
2503704,86.28
2503753,71.19
2503803,73.66
2503902,76.37
2504009,91.97
2504033,71.53
2504074,80.62
2504108,78.5
2504157,67.96
2504207,74.5
2504306,83.35
2504355,83.64
2504405,73.43
2504504,77.83
2504603,84.09
2504702,77.63
2504801,74.24
2504850,82.96
2504900,73.76
2505006,80.58
2505105,77.13
2505204,75.7
2505238,69.4
2505279,68.6
2505303,77.18
2505352,67.27
2505402,79.97
2505501,79.09
2505600,75.1
2505709,71.87
2505808,79.38
2505907,73.96
2506004,81.84
2506103,74.81
2506202,81.83
2506251,74.85
2506301,85.25
2506400,70.92
2506509,83.48
2506608,70.06
2506707,78.72
2506806,74.79
2506905,78.4
2507002,83.07
2507101,72.79
2507200,72.19
2507309,74.97
2507408,78.9
2507507,93.87
2507606,71.96
2507705,82.33
2507804,81.34
2507903,72.9
2508000,75.29
2508109,73.44
2508208,74.94
2508307,84.58
2508406,72.73
2508505,82.03
2508554,77.24
2508604,82.6
2508703,76.66
2508802,77.42
2508901,78.52
2509008,73.37
2509057,76.66
2509107,74.04
2509156,80.79
2509206,78.12
2509305,79.82
2509339,76.54
2509370,67.55
2509396,79.83
2509404,74.58
2509503,83.19
2509602,77.31
2509701,81.5
2509800,75.3
2509909,70.0
2510006,74.25
2510105,80.1
2510204,75.38
2510303,80.21
2510402,71.28
2510501,80.73
2510600,76.84
2510659,81.98
2510709,79.64
2510808,87.18
2510907,76.5
2511004,78.16
2511103,79.97
2511202,76.74
2511301,80.45
2511400,81.7
2511509,73.69
2511608,71.48
2511707,73.28
2511806,78.74
2511905,81.68
2512002,81.49
2512036,70.52
2512077,80.96
2512101,81.01
2512200,80.15
2512309,82.13
2512408,85.25
2512507,84.2
2512606,82.35
2512705,78.84
2512721,74.45
2512747,73.6
2512754,77.07
2512762,70.76
2512788,78.98
2512804,78.66
2512903,80.43
2513000,75.22
2513109,70.36
2513158,74.38
2513208,75.99
2513307,78.16
2513356,73.02
2513406,85.09
2513505,72.86
2513604,70.23
2513653,80.94
2513703,85.62
2513802,77.96
2513851,80.67
2513901,76.85
2513927,76.28
2513943,83.73
2513968,66.23
2513984,73.89
2514008,82.83
2514107,72.29
2514206,69.37
2514305,73.88
2514404,79.05
2514453,69.28
2514503,78.75
2514552,76.78
2514602,79.51
2514651,78.5
2514701,82.36
2514800,82.15
2514909,82.41
2515005,74.72
2515104,81.43
2515203,78.46
2515302,76.35
2515401,82.34
2515500,84.61
2515609,74.66
2515708,81.32
2515807,78.35
2515906,72.01
2515930,82.34
2515971,75.06
2516003,76.75
2516102,86.29
2516151,75.94
2516201,83.33
2516300,82.82
2516409,71.86
2516508,80.79
2516607,75.94
2516706,83.02
2516755,78.89
2516805,80.79
2516904,78.6
2517001,71.19
2517100,89.4
2517209,67.1
2517407,80.6
2600054,91.45
2600104,84.89
2600203,81.88
2600302,76.74
2600401,76.62
2600500,70.22
2600609,79.0
2600708,78.28
2600807,74.53
2600906,78.27
2601003,76.82
2601052,80.86
2601102,81.24
2601201,87.67
2601300,74.96
2601409,81.44
2601508,74.27
2601607,82.93
2601706,82.07
2601805,74.18
2601904,79.61
2602001,76.98
2602100,74.45
2602209,77.41
2602308,78.79
2602407,75.99
2602506,80.56
2602605,77.2
2602704,77.06
2602803,71.22
2602902,89.81
2603009,83.03
2603108,80.7
2603207,74.01
2603306,76.05
2603405,77.52
2603454,92.34
2603504,77.17
2603603,79.67
2603702,75.41
2603801,75.47
2603900,79.78
2603926,81.44
2604007,87.72
2604106,89.19
2604155,75.3
