id_municipio,nome_municipio,sigla_uf,regiao,taxa_2023,taxa_2024,meta_2025,meta_2030,delta_observado,delta_projetado,projecao_2025,projecao_2026,projecao_2027,projecao_2028,projecao_2029,projecao_2030,atinge_meta_2025,atinge_meta_2030,gap_2030,ritmo_necessario_ate_2030,ritmo_projetado,classificacao_ritmo
3554656,Torre de Pedra,SP,Sudeste,33.33,30.77,47.52,80.0,-2.56,0.28,31.01,31.21,31.38,31.53,31.65,31.76,0,0,-48.24,8.2,0.28,Em retrocesso
1501253,Bannach,PA,Norte,61.11,47.37,53.57,80.0,-13.74,-5.65,42.57,38.49,35.02,32.07,29.56,27.43,0,0,-52.57,5.44,-5.65,Em retrocesso
3121902,Divinésia,MG,Sudeste,43.0,75.0,54.85,80.0,32.0,22.16,93.84,100.0,100.0,100.0,100.0,100.0,1,1,20.0,0.83,22.16,No ritmo da meta
1100502,Novo Horizonte do Oeste,RO,Norte,72.53,70.67,74.83,80.0,-1.86,0.12,70.77,70.86,70.93,71.0,71.05,71.09,0,0,-8.91,1.55,0.12,Em retrocesso
4301305,Arroio Grande,RS,Sul,60.01,38.1,,,-21.91,-20.93,20.31,5.19,0.0,0.0,0.0,0.0,0,0,,,-20.93,Em retrocesso
3135209,Januária,MG,Sudeste,20.14,47.12,35.71,80.0,26.98,19.65,63.82,78.02,90.09,100.0,100.0,100.0,1,1,20.0,5.48,19.65,No ritmo da meta
3143203,Monte Santo de Minas,MG,Sudeste,42.15,61.59,54.24,80.0,19.44,15.88,75.09,86.56,96.31,100.0,100.0,100.0,1,1,20.0,3.07,15.88,No ritmo da meta
4127106,Telêmaco Borba,PR,Sul,63.2,61.71,68.62,80.0,-1.49,-1.61,60.34,59.18,58.19,57.35,56.63,56.03,0,0,-23.97,3.05,-1.61,Em retrocesso
3112901,Caputira,MG,Sudeste,59.39,83.3,66.1,80.0,23.91,18.11,98.69,100.0,100.0,100.0,100.0,100.0,1,1,20.0,-0.55,18.11,No ritmo da meta
2903706,Boa Nova,BA,Nordeste,44.22,46.51,55.73,80.0,2.29,0.69,47.1,47.6,48.02,48.38,48.69,48.95,0,0,-31.05,5.58,0.69,Ritmo critico
1506708,Santana do Araguaia,PA,Norte,54.53,58.51,62.85,80.0,3.98,3.21,61.24,63.56,65.53,67.2,68.63,69.84,0,0,-10.16,3.58,3.21,Ritmo insuficiente
2614006,Serrita,PE,Nordeste,53.72,59.7,62.31,80.0,5.98,5.61,64.47,68.52,71.97,74.9,77.38,79.5,1,0,-0.5,3.38,5.61,No ritmo da meta
3113008,Caraí,MG,Sudeste,42.04,71.52,54.16,80.0,29.48,20.9,89.28,100.0,100.0,100.0,100.0,100.0,1,1,20.0,1.41,20.9,No ritmo da meta
4322533,Vale do Sol,RS,Sul,86.11,51.6,80.0,80.0,-34.51,-27.23,28.45,8.78,0.0,0.0,0.0,0.0,0,0,-80.0,4.73,-27.23,Em retrocesso
